pid,Name,Image List,Image,Image Shiny,Type,Sleep Type,Specialty,Berry,Berry Quantity,Skill,Skill Description,Base Frequency,Carry Limit,Friendship Points Needed,Recruit Experience,Recruit Shards,Ingredients_1,Ingredients_2,Ingredients_3,Location_1,Location_2,Location_3,Location_4
#0001,妙蛙種子,https://www.serebii.net/pokemonsleep/pokemon/icon/001.png,https://www.serebii.net/pokemonsleep/pokemon/1.png,https://www.serebii.net/pokemonsleep/pokemon/shiny/1.png,草,淺淺入夢,食材,金枕果,1,食材獲取S,隨機獲得6個食材。,01:13:20,11,5,18,39,甜甜蜜,窩心洋芋,好眠番茄,True,False,False,False
#0002,妙蛙草,https://www.serebii.net/pokemonsleep/pokemon/icon/002.png,https://www.serebii.net/pokemonsleep/pokemon/2.png,https://www.serebii.net/pokemonsleep/pokemon/shiny/2.png,草,淺淺入夢,食材,金枕果,1,食材獲取S,隨機獲得6個食材。,00:55:00,14,12,116,245,甜甜蜜,窩心洋芋,好眠番茄,True,False,False,False
#0003,妙蛙花,https://www.serebii.net/pokemonsleep/pokemon/icon/003.png,https://www.serebii.net/pokemonsleep/pokemon/3.png,https://www.serebii.net/pokemonsleep/pokemon/shiny/3.png,草,淺淺入夢,食材,金枕果,1,食材獲取S,隨機獲得6個食材。,00:46:40,17,20,574,1033,甜甜蜜,窩心洋芋,好眠番茄,True,False,False,False
#0004,小火龍,https://www.serebii.net/pokemonsleep/pokemon/icon/004.png,https://www.serebii.net/pokemonsleep/pokemon/4.png,https://www.serebii.net/pokemonsleep/pokemon/shiny/4.png,火,安然入睡,食材,蘋野果,1,食材獲取S,隨機獲得6個食材。,00:58:20,12,5,16,42,豆製肉,暖暖薑,火辣香草,True,False,False,False
#0005,火恐龍,https://www.serebii.net/pokemonsleep/pokemon/icon/005.png,https://www.serebii.net/pokemonsleep/pokemon/5.png,https://www.serebii.net/pokemonsleep/pokemon/shiny/5.png,火,安然入睡,食材,蘋野果,1,食材獲取S,隨機獲得6個食材。,00:50:00,15,12,116,245,豆製肉,暖暖薑,火辣香草,True,False,False,False
#0006,噴火龍,https://www.serebii.net/pokemonsleep/pokemon/icon/006.png,https://www.serebii.net/pokemonsleep/pokemon/6.png,https://www.serebii.net/pokemonsleep/pokemon/shiny/6.png,火,安然入睡,食材,蘋野果,1,食材獲取S,隨機獲得6個食材。,00:40:00,19,20,528,1116,豆製肉,暖暖薑,火辣香草,True,False,False,False
#0007,傑尼龜,https://www.serebii.net/pokemonsleep/pokemon/icon/007.png,https://www.serebii.net/pokemonsleep/pokemon/7.png,https://www.serebii.net/pokemonsleep/pokemon/shiny/7.png,水,深深入眠,食材,橙橙果,1,食材獲取S,隨機獲得6個食材。,01:15:00,10,5,18,39,哞哞鮮奶,放鬆可可,豆製肉,True,True,True,False
#0008,卡咪龜,https://www.serebii.net/pokemonsleep/pokemon/icon/008.png,https://www.serebii.net/pokemonsleep/pokemon/8.png,https://www.serebii.net/pokemonsleep/pokemon/shiny/8.png,水,深深入眠,食材,橙橙果,1,食材獲取S,隨機獲得6個食材。,00:56:40,14,12,116,245,哞哞鮮奶,放鬆可可,豆製肉,True,True,True,False
#0009,水箭龜,https://www.serebii.net/pokemonsleep/pokemon/icon/009.png,https://www.serebii.net/pokemonsleep/pokemon/9.png,https://www.serebii.net/pokemonsleep/pokemon/shiny/9.png,水,深深入眠,食材,橙橙果,1,食材獲取S,隨機獲得6個食材。,00:46:40,17,20,528,1116,哞哞鮮奶,放鬆可可,豆製肉,True,True,True,False
#0010,綠毛蟲,https://www.serebii.net/pokemonsleep/pokemon/icon/010.png,https://www.serebii.net/pokemonsleep/pokemon/10.png,https://www.serebii.net/pokemonsleep/pokemon/shiny/10.png,蟲,淺淺入夢,樹果,木子果,2,食材獲取S,隨機獲得6個食材。,01:13:20,11,5,11,12,甜甜蜜,好眠番茄,萌綠大豆,True,True,True,False
#0011,鐵甲蛹,https://www.serebii.net/pokemonsleep/pokemon/icon/011.png,https://www.serebii.net/pokemonsleep/pokemon/11.png,https://www.serebii.net/pokemonsleep/pokemon/shiny/11.png,蟲,淺淺入夢,樹果,木子果,2,食材獲取S,隨機獲得6個食材。,01:10:00,13,7,29,31,甜甜蜜,好眠番茄,萌綠大豆,True,False,False,False
#0012,巴大蝶,https://www.serebii.net/pokemonsleep/pokemon/icon/012.png,https://www.serebii.net/pokemonsleep/pokemon/12.png,https://www.serebii.net/pokemonsleep/pokemon/shiny/12.png,蟲,淺淺入夢,樹果,木子果,2,食材獲取S,隨機獲得6個食材。,00:43:20,21,15,397,715,甜甜蜜,好眠番茄,萌綠大豆,True,False,False,False
#0019,小拉達,https://www.serebii.net/pokemonsleep/pokemon/icon/019.png,https://www.serebii.net/pokemonsleep/pokemon/19.png,https://www.serebii.net/pokemonsleep/pokemon/shiny/19.png,一般,安然入睡,樹果,柿仔果,2,活力填充S,讓自己回復活力12。,01:21:40,10,5,7,20,特選蘋果,萌綠大豆,豆製肉,True,True,True,False
#0020,拉達,https://www.serebii.net/pokemonsleep/pokemon/icon/020.png,https://www.serebii.net/pokemonsleep/pokemon/20.png,https://www.serebii.net/pokemonsleep/pokemon/shiny/20.png,一般,安然入睡,樹果,柿仔果,2,活力填充S,讓自己回復活力12。,00:53:20,16,12,60,155,特選蘋果,萌綠大豆,豆製肉,True,True,True,False
#0023,阿柏蛇,https://www.serebii.net/pokemonsleep/pokemon/icon/023.png,https://www.serebii.net/pokemonsleep/pokemon/23.png,https://www.serebii.net/pokemonsleep/pokemon/shiny/23.png,毒,淺淺入夢,樹果,零餘果,2,活力填充S,讓自己回復活力12。,01:23:20,10,5,7,19,豆製肉,特選蛋,火辣香草,True,True,True,False
#0024,阿柏怪,https://www.serebii.net/pokemonsleep/pokemon/icon/024.png,https://www.serebii.net/pokemonsleep/pokemon/24.png,https://www.serebii.net/pokemonsleep/pokemon/shiny/24.png,毒,淺淺入夢,樹果,零餘果,2,活力填充S,讓自己回復活力12。,01:01:40,14,12,103,268,豆製肉,特選蛋,火辣香草,True,True,True,False
#0025,皮卡丘,https://www.serebii.net/pokemonsleep/pokemon/icon/025.png,https://www.serebii.net/pokemonsleep/pokemon/25.png,https://www.serebii.net/pokemonsleep/pokemon/shiny/25.png,電,安然入睡,樹果,萄葡果,2,能量填充S,卡比獸的能量增加400。,00:45:00,17,7,7,20,特選蘋果,特選蛋,暖暖薑,True,True,True,False
#0026,雷丘,https://www.serebii.net/pokemonsleep/pokemon/icon/026.png,https://www.serebii.net/pokemonsleep/pokemon/26.png,https://www.serebii.net/pokemonsleep/pokemon/shiny/26.png,電,安然入睡,樹果,萄葡果,2,能量填充S,卡比獸的能量增加400。,00:36:40,21,18,326,844,特選蘋果,特選蛋,暖暖薑,True,False,False,False
#0039,胖丁,https://www.serebii.net/pokemonsleep/pokemon/icon/039.png,https://www.serebii.net/pokemonsleep/pokemon/39.png,https://www.serebii.net/pokemonsleep/pokemon/shiny/39.png,妖精,安然入睡,技能,桃桃果,1,活力全體療癒S,讓幫手隊伍的寶可夢回復活力5。,01:05:00,9,7,23,24,甜甜蜜,純粹油,放鬆可可,True,True,True,False
#0040,胖可丁,https://www.serebii.net/pokemonsleep/pokemon/icon/040.png,https://www.serebii.net/pokemonsleep/pokemon/40.png,https://www.serebii.net/pokemonsleep/pokemon/shiny/40.png,妖精,安然入睡,技能,桃桃果,1,活力全體療癒S,讓幫手隊伍的寶可夢回復活力5。,00:48:20,13,16,253,273,甜甜蜜,純粹油,放鬆可可,True,True,True,False
#0050,地鼠,https://www.serebii.net/pokemonsleep/pokemon/icon/050.png,https://www.serebii.net/pokemonsleep/pokemon/50.png,https://www.serebii.net/pokemonsleep/pokemon/shiny/50.png,地面,安然入睡,食材,勿花果,1,能量填充S,卡比獸的能量增加400。,01:11:40,10,5,7,20,好眠番茄,粗枝大蔥,萌綠大豆,True,True,True,False
#0051,三地鼠,https://www.serebii.net/pokemonsleep/pokemon/icon/051.png,https://www.serebii.net/pokemonsleep/pokemon/51.png,https://www.serebii.net/pokemonsleep/pokemon/shiny/51.png,地面,安然入睡,食材,勿花果,1,能量填充S,卡比獸的能量增加400。,00:46:40,16,12,95,284,好眠番茄,粗枝大蔥,萌綠大豆,True,False,False,False
#0052,喵喵,https://www.serebii.net/pokemonsleep/pokemon/icon/052.png,https://www.serebii.net/pokemonsleep/pokemon/52.png,https://www.serebii.net/pokemonsleep/pokemon/shiny/52.png,一般,安然入睡,技能,柿仔果,1,夢之碎片獲取S,獲得88個夢之碎片。,01:13:20,9,5,8,17,哞哞鮮奶,豆製肉,,True,False,False,False
#0053,貓老大,https://www.serebii.net/pokemonsleep/pokemon/icon/053.png,https://www.serebii.net/pokemonsleep/pokemon/53.png,https://www.serebii.net/pokemonsleep/pokemon/shiny/53.png,一般,安然入睡,技能,柿仔果,1,夢之碎片獲取S,獲得88個夢之碎片。,00:50:00,12,12,116,245,哞哞鮮奶,豆製肉,,True,False,False,False
#0054,可達鴨,https://www.serebii.net/pokemonsleep/pokemon/icon/054.png,https://www.serebii.net/pokemonsleep/pokemon/54.png,https://www.serebii.net/pokemonsleep/pokemon/shiny/54.png,水,淺淺入夢,技能,橙橙果,1,能量填充S,卡比獸的能量增加200~800。,01:30:00,8,5,9,16,放鬆可可,品鮮蘑菇,豆製肉,True,True,True,False
#0055,哥達鴨,https://www.serebii.net/pokemonsleep/pokemon/icon/055.png,https://www.serebii.net/pokemonsleep/pokemon/55.png,https://www.serebii.net/pokemonsleep/pokemon/shiny/55.png,水,深深入眠,技能,橙橙果,1,能量填充S,卡比獸的能量增加200~800。,00:56:40,11,12,126,227,放鬆可可,品鮮蘑菇,豆製肉,False,True,True,False
#0056,猴怪,https://www.serebii.net/pokemonsleep/pokemon/icon/056.png,https://www.serebii.net/pokemonsleep/pokemon/56.png,https://www.serebii.net/pokemonsleep/pokemon/shiny/56.png,格鬥,淺淺入夢,樹果,櫻子果,2,能量填充S,卡比獸的能量增加200~800。,01:10:00,12,5,7,19,豆製肉,品鮮蘑菇,甜甜蜜,True,True,True,False
#0057,火爆猴,https://www.serebii.net/pokemonsleep/pokemon/icon/057.png,https://www.serebii.net/pokemonsleep/pokemon/57.png,https://www.serebii.net/pokemonsleep/pokemon/shiny/57.png,格鬥,淺淺入夢,樹果,櫻子果,2,能量填充S,卡比獸的能量增加200~800。,00:46:40,17,12,116,245,豆製肉,品鮮蘑菇,甜甜蜜,True,True,True,False
#0058,卡蒂狗,https://www.serebii.net/pokemonsleep/pokemon/icon/058.png,https://www.serebii.net/pokemonsleep/pokemon/58.png,https://www.serebii.net/pokemonsleep/pokemon/shiny/58.png,火,安然入睡,技能,蘋野果,1,幫手支援S,幫手寶可夢中的某一隻會立刻完成4次幫忙。,01:11:40,8,5,9,16,火辣香草,豆製肉,哞哞鮮奶,True,True,True,False
#0059,風速狗,https://www.serebii.net/pokemonsleep/pokemon/icon/059.png,https://www.serebii.net/pokemonsleep/pokemon/59.png,https://www.serebii.net/pokemonsleep/pokemon/shiny/59.png,火,安然入睡,技能,蘋野果,1,幫手支援S,幫手寶可夢中的某一隻會立刻完成4次幫忙。,00:41:40,16,20,666,1199,火辣香草,豆製肉,哞哞鮮奶,False,False,False,False
#0069,喇叭芽,https://www.serebii.net/pokemonsleep/pokemon/icon/069.png,https://www.serebii.net/pokemonsleep/pokemon/69.png,https://www.serebii.net/pokemonsleep/pokemon/shiny/69.png,草,淺淺入夢,食材,金枕果,1,活力填充S,讓自己回復活力12。,01:26:40,8,5,9,16,好眠番茄,窩心洋芋,粗枝大蔥,True,True,True,False
#0070,口呆花,https://www.serebii.net/pokemonsleep/pokemon/icon/070.png,https://www.serebii.net/pokemonsleep/pokemon/70.png,https://www.serebii.net/pokemonsleep/pokemon/shiny/70.png,草,淺淺入夢,食材,金枕果,1,活力填充S,讓自己回復活力12。,01:03:20,12,12,73,131,好眠番茄,窩心洋芋,粗枝大蔥,True,True,True,False
#0071,大食花,https://www.serebii.net/pokemonsleep/pokemon/icon/071.png,https://www.serebii.net/pokemonsleep/pokemon/71.png,https://www.serebii.net/pokemonsleep/pokemon/shiny/71.png,草,淺淺入夢,食材,金枕果,1,活力填充S,讓自己回復活力12。,00:46:40,17,20,397,715,好眠番茄,窩心洋芋,粗枝大蔥,True,False,False,False
#0074,小拳石,https://www.serebii.net/pokemonsleep/pokemon/icon/074.png,https://www.serebii.net/pokemonsleep/pokemon/74.png,https://www.serebii.net/pokemonsleep/pokemon/shiny/74.png,岩石,深深入眠,食材,文柚果,1,能量填充S,卡比獸的能量增加200~800。,01:35:00,9,5,7,19,萌綠大豆,品鮮蘑菇,窩心洋芋,True,False,False,False
#0075,隆隆石,https://www.serebii.net/pokemonsleep/pokemon/icon/075.png,https://www.serebii.net/pokemonsleep/pokemon/75.png,https://www.serebii.net/pokemonsleep/pokemon/shiny/75.png,岩石,深深入眠,食材,文柚果,1,能量填充S,卡比獸的能量增加200~800。,01:06:40,12,12,67,141,萌綠大豆,品鮮蘑菇,窩心洋芋,True,False,False,False
#0076,隆隆岩,https://www.serebii.net/pokemonsleep/pokemon/icon/076.png,https://www.serebii.net/pokemonsleep/pokemon/76.png,https://www.serebii.net/pokemonsleep/pokemon/shiny/76.png,岩石,深深入眠,食材,文柚果,1,能量填充S,卡比獸的能量增加200~800。,00:51:40,16,22,574,1033,萌綠大豆,品鮮蘑菇,窩心洋芋,False,False,False,False
#0079,呆呆獸,https://www.serebii.net/pokemonsleep/pokemon/icon/079.png,https://www.serebii.net/pokemonsleep/pokemon/79.png,https://www.serebii.net/pokemonsleep/pokemon/shiny/79.png,水,安然入睡,技能,橙橙果,1,活力療癒S,隨機讓自己以外的寶可夢回復活力14。,01:35:00,9,5,11,12,放鬆可可,美味尾巴,好眠番茄,True,True,True,False
#0080,呆殼獸,https://www.serebii.net/pokemonsleep/pokemon/icon/080.png,https://www.serebii.net/pokemonsleep/pokemon/80.png,https://www.serebii.net/pokemonsleep/pokemon/shiny/80.png,水,安然入睡,技能,橙橙果,1,活力療癒S,隨機讓自己以外的寶可夢回復活力14。,01:03:20,10,12,136,209,放鬆可可,美味尾巴,好眠番茄,True,True,True,False
#0081,小磁怪,https://www.serebii.net/pokemonsleep/pokemon/icon/081.png,https://www.serebii.net/pokemonsleep/pokemon/81.png,https://www.serebii.net/pokemonsleep/pokemon/shiny/81.png,鋼,深深入眠,技能,靛莓果,1,料理強化S,增加下一次料理時的鍋子容量，讓鍋子能多放7個食材。,01:36:40,8,5,7,20,純粹油,火辣香草,,True,False,False,False
#0082,三合一磁怪,https://www.serebii.net/pokemonsleep/pokemon/icon/082.png,https://www.serebii.net/pokemonsleep/pokemon/82.png,https://www.serebii.net/pokemonsleep/pokemon/shiny/82.png,鋼,深深入眠,技能,靛莓果,1,料理強化S,增加下一次料理時的鍋子容量，讓鍋子能多放7個食材。,01:06:40,11,12,95,284,純粹油,火辣香草,,True,False,False,False
#0084,嘟嘟,https://www.serebii.net/pokemonsleep/pokemon/icon/084.png,https://www.serebii.net/pokemonsleep/pokemon/84.png,https://www.serebii.net/pokemonsleep/pokemon/shiny/84.png,飛行,深深入眠,樹果,椰木果,2,活力填充S,讓自己回復活力12。,01:03:20,13,5,7,20,萌綠大豆,放鬆可可,豆製肉,True,False,False,False
#0085,嘟嘟利,https://www.serebii.net/pokemonsleep/pokemon/icon/085.png,https://www.serebii.net/pokemonsleep/pokemon/85.png,https://www.serebii.net/pokemonsleep/pokemon/shiny/85.png,飛行,深深入眠,樹果,椰木果,2,活力填充S,讓自己回復活力12。,00:40:00,21,12,60,155,萌綠大豆,放鬆可可,豆製肉,True,False,False,False
#0092,鬼斯,https://www.serebii.net/pokemonsleep/pokemon/icon/092.png,https://www.serebii.net/pokemonsleep/pokemon/92.png,https://www.serebii.net/pokemonsleep/pokemon/shiny/92.png,幽靈,淺淺入夢,食材,墨莓果,1,能量填充S,卡比獸的能量增加200~800。,01:03:20,10,5,7,20,火辣香草,品鮮蘑菇,純粹油,True,False,False,False
#0093,鬼斯通,https://www.serebii.net/pokemonsleep/pokemon/icon/093.png,https://www.serebii.net/pokemonsleep/pokemon/93.png,https://www.serebii.net/pokemonsleep/pokemon/shiny/93.png,幽靈,淺淺入夢,食材,墨莓果,1,能量填充S,卡比獸的能量增加200~800。,00:50:00,14,12,62,186,火辣香草,品鮮蘑菇,純粹油,True,False,False,False
#0094,耿鬼,https://www.serebii.net/pokemonsleep/pokemon/icon/094.png,https://www.serebii.net/pokemonsleep/pokemon/94.png,https://www.serebii.net/pokemonsleep/pokemon/shiny/94.png,幽靈,淺淺入夢,食材,墨莓果,1,能量填充S,卡比獸的能量增加200~800。,00:36:40,18,22,431,1291,火辣香草,品鮮蘑菇,純粹油,False,False,False,False
#0104,卡拉卡拉,https://www.serebii.net/pokemonsleep/pokemon/icon/104.png,https://www.serebii.net/pokemonsleep/pokemon/104.png,https://www.serebii.net/pokemonsleep/pokemon/shiny/104.png,地面,深深入眠,樹果,勿花果,2,活力填充S,讓自己回復活力12。,01:20:00,10,5,9,16,暖暖薑,放鬆可可,,True,False,False,False
#0105,嘎啦嘎啦,https://www.serebii.net/pokemonsleep/pokemon/icon/105.png,https://www.serebii.net/pokemonsleep/pokemon/105.png,https://www.serebii.net/pokemonsleep/pokemon/shiny/105.png,地面,深深入眠,樹果,勿花果,2,活力填充S,讓自己回復活力12。,00:58:20,15,12,93,197,暖暖薑,放鬆可可,,True,False,False,False
#0115,袋獸,https://www.serebii.net/pokemonsleep/pokemon/icon/115.png,https://www.serebii.net/pokemonsleep/pokemon/115.png,https://www.serebii.net/pokemonsleep/pokemon/shiny/115.png,一般,安然入睡,食材,柿仔果,1,食材獲取S,隨機獲得6個食材。,00:46:40,16,16,416,449,暖暖薑,窩心洋芋,萌綠大豆,True,True,True,False
#0127,凱羅斯,https://www.serebii.net/pokemonsleep/pokemon/icon/127.png,https://www.serebii.net/pokemonsleep/pokemon/127.png,https://www.serebii.net/pokemonsleep/pokemon/shiny/127.png,蟲,淺淺入夢,食材,木子果,1,能量填充S,卡比獸的能量增加400。,00:40:00,19,16,235,608,甜甜蜜,豆製肉,,True,True,True,False
#0132,百變怪,https://www.serebii.net/pokemonsleep/pokemon/icon/132.png,https://www.serebii.net/pokemonsleep/pokemon/132.png,https://www.serebii.net/pokemonsleep/pokemon/shiny/132.png,一般,安然入睡,,柿仔果,1,能量填充S,卡比獸的能量增加200~800。,00:58:20,13,16,219,394,純粹油,粗枝大蔥,美味尾巴,True,True,True,False
#0133,伊布,https://www.serebii.net/pokemonsleep/pokemon/icon/133.png,https://www.serebii.net/pokemonsleep/pokemon/133.png,https://www.serebii.net/pokemonsleep/pokemon/shiny/133.png,一般,安然入睡,技能,柿仔果,1,食材獲取S,隨機獲得6個食材。,01:01:40,12,5,20,36,哞哞鮮奶,放鬆可可,豆製肉,True,True,True,False
